year,bank_group,gross_npa_cr,gross_adv_cr,gnpa_ratio,credit_growth,roa,repo_rate,cpi_avg,iip_avg,gdp_growth,credit_growth_lag1,credit_growth_lag2,credit_growth_3y_avg,gnpa_next1yr,gnpa_next2yr,stress_next1yr,stress_next2yr,net_npa_cr,pcr
2014,Private,24183.5,1360252.77,1.7778680943248513,18.15479647909237,1.652555,7.568,7.921,-0.186,6.085,32.07799355078747,20.524715632670045,23.58583522084996,2.09603216585202,2.83136241973651,0.0,0.0,8861.5412,63.35707734612443
2015,Private,33690.35,1607339.36,2.09603216585202,18.164755510845243,1.676018454425,7.932,8.11,2.829,7.182,18.15479647909237,32.07799355078747,22.79918184690836,2.83136241973651,4.054961317805699,0.0,0.0,14128.3196,58.06419464327321
2016,Private,55853.1204,1972658.8165,2.83136241973651,22.728209461628545,1.495870512889,7.068,6.88,3.375,8.025,18.164755510845243,18.15479647909237,19.682587150522053,4.054961317805699,4.617312281689707,0.0,0.0,26677.4145,52.23648328160373
2017,Private,91914.647,2266720.686,4.054961317805699,14.906879336678248,1.298904633665,6.375,5.398,4.724,7.992,22.728209461628545,18.164755510845243,18.59994810305068,4.617312281689707,5.254335134277266,0.0,0.0,47780.218,48.01675297735735
2018,Private,125862.887,2725890.72,4.617312281689707,20.25701873353796,1.140475321685,6.083,4.491,4.418,6.218,14.906879336678248,22.728209461628545,19.297369177281585,5.254335134277266,5.451144415739135,0.0,0.0,64380.466,48.84872933194358
2019,Private,180872.43,3442346.66,5.254335134277266,26.28336986304425,0.62969544149,6.333,4.197,3.914,5.833,20.25701873353796,14.906879336678248,20.48242264442015,5.451144415739135,4.936885488141727,0.0,0.0,67308.89,62.786539662235974
2020,Private,205847.82,3776231.27,5.451144415739135,9.699331385758803,0.512504856,5.371,4.249,-0.639,3.951,26.28336986304425,20.25701873353796,18.746573327447003,4.936885488141727,3.844830862240416,0.0,0.0,55683.412025,72.9492340385242
2021,Private,202266.15,4097039.53,4.936885488141727,8.49546113736832,1.168159454568,4.033,4.287,-8.202,-4.268,9.699331385758803,26.28336986304425,14.826054128723792,3.844830862240416,2.292007426816187,0.0,0.0,55376.593921,72.62191725061263
2022,Private,180742.11,4700911.86,3.844830862240416,14.739236113740905,1.450569,4.0,4.462,7.718,10.252,8.49546113736832,9.699331385758803,10.978009545622676,2.292007426816187,1.8543462929513488,0.0,0.0,43738.244081,75.80074500568794
2023,Private,125211.82,5462976.19,2.292007426816187,16.21098954193112,1.633058,5.567,2.81,5.513,6.962,14.739236113740905,8.49546113736832,13.14856226434678,1.8543462929513488,1.7511661671892005,0.0,0.0,29509.830434,76.43207291931384
2024,Private,129046.671036,6959146.278477,1.8543462929513488,27.38745395258624,1.867864,6.5,1.53,5.901,8.189,16.21098954193112,14.739236113740905,19.445893202752757,1.7511661671892005,,0.0,,31593.5463228,75.51773628163846
2025,Private,132646.459491,7574750.01381,1.7511661671892005,8.84596631108212,1.778205,6.458,1.895,4.685,7.005,27.38745395258624,16.21098954193112,17.481469935199826,,,,,35068.7048905,73.56227597399281
2018,SFB,893.349,35315.993,2.5295876573539924,,0.731883071901,6.083,4.491,4.418,6.218,,,,1.8283488665244312,1.867944353105673,0.0,0.0,436.4151,51.148420158303196
2019,SFB,1012.84,55396.43,1.8283488665244312,56.859329992505096,1.586969415992,6.333,4.197,3.914,5.833,,,,1.867944353105673,5.350570601712244,0.0,0.0,585.5886,42.18350381106591
2020,SFB,1709.34,91509.15,1.867944353105673,65.18961600955151,1.706242396,5.371,4.249,-0.639,3.951,56.859329992505096,,61.02447300102831,5.350570601712244,4.936075266424781,0.0,0.0,764.634126,55.26728877812489
2021,SFB,5970.66,111589.22,5.350570601712244,21.943237370252056,1.361620275138,4.033,4.287,-8.202,-4.268,65.18961600955151,56.859329992505096,47.99739445743622,4.936075266424781,4.814001937258306,0.0,0.0,2981.405248,50.06573397245866
2022,SFB,6910.65,140002.93,4.936075266424781,25.462773196192234,0.53444,4.0,4.462,7.718,10.252,21.943237370252056,65.18961600955151,37.531875525331934,4.814001937258306,2.432332901450597,0.0,0.0,2724.559342,60.57448514973265
2023,SFB,8896.64,184807.57,4.814001937258306,32.00264451608263,1.802373,5.567,2.81,5.513,6.962,25.462773196192234,21.943237370252056,26.46955169417564,2.432332901450597,3.585646228838866,0.0,0.0,1622.429576,81.76356943745053
2024,SFB,5590.3522,229834.9949,2.432332901450597,24.364491616874773,2.117427,6.5,1.53,5.901,8.189,32.00264451608263,25.462773196192234,27.27663644304988,3.585646228838866,,0.0,,1795.921885,67.87462004630048
2025,SFB,9988.687,278574.2475,3.585646228838866,21.20619299998514,0.967636,6.458,1.895,4.685,7.005,24.364491616874773,32.00264451608263,25.857776377647514,,,,,3909.516335,60.86055819949108
